"id","categoria","prueba","resultado","detalle"
"1.1","1. Estructura","El objeto es un data.frame","OK","clase: data.frame"
"1.2","1. Estructura","Numero de observaciones","OK","observadas: 32,177; esperadas: 32,177"
"1.3","1. Estructura","Numero de columnas (177 originales + 4 de procedencia)","OK","observadas: 181; esperadas: 181"
"1.4","1. Estructura","Sin nombres de columna vacios o repetidos","OK",""
"1.5","1. Estructura","Las 177 variables originales estan presentes","OK",""
"1.6","1. Estructura","No hay columnas inesperadas","OK",""
"1.7","1. Estructura","Las variables originales conservan el orden del sitio","OK",""
"1.8","1. Estructura","Columnas de procedencia en su posicion (primera y tres ultimas)","OK","procedencia presente: fila_en_bloque, chunk, url_origen, muestra_ps3"
"2.1","2. Procedencia y bloques","chunk es entero y toma los valores 1 a 10","OK","valores: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
"2.2","2. Procedencia y bloques","Cada bloque tiene entre 3.217 y 3.218 observaciones","OK","1=3217; 2=3218; 3=3218; 4=3218; 5=3218; 6=3218; 7=3218; 8=3218; 9=3217; 10=3217"
"2.3","2. Procedencia y bloques","muestra_ps3: entrenamiento = bloques 1-7, validacion = bloques 8-10","OK","conteo: entrenamiento=22525; validacion=9652"
"2.4","2. Procedencia y bloques","url_origen apunta a geih_page_<chunk>.html en cada fila","OK","urls distintas: 10"
"2.5","2. Procedencia y bloques","fila_en_bloque es 1..n consecutivo dentro de cada bloque","OK",""
"3.1","3. Contenido textual y conversion","Las 177 variables originales son de tipo character (como las guardo el script 01)","OK","tipos: character=177"
"3.2","3. Contenido textual y conversion","Los faltantes vienen como texto 'NA' (no hay NA reales, blancos ni espacios)","OK","NA reales: 0; blancos: 0; con espacios: 0"
"3.3","3. Contenido textual y conversion","Todo valor presente es numerico, salvo dominio (= 'BOGOTA')","OK","columnas con texto no numerico: dominio"
"3.4","3. Contenido textual y conversion","as.numeric convierte sin crear NA adicionales","OK",""
"3.5","3. Contenido textual y conversion","La notacion cientifica corresponde a enteros con <= 7 cifras (se recupera exacta)","OK","71 columnas la usan; total de celdas: 52,474"
"3.6","3. Contenido textual y conversion","Columnas totalmente vacias: solo p550 y y_gananciaNetaAgro_m (sin agro en Bogota)","OK","vacias: p550, y_gananciaNetaAgro_m"
"3.7","3. Contenido textual y conversion","Columnas con decimales (informativo)","OK","16 columnas; entre ellas fex_c, fex_dpto, los ingresos por hora y los agregados de ingreso (y_total_m con precision de punto flotante simple)"
